title,abstract
（同時通訳付）AI Summit Japan 2024 Fireside Chat [SJP1047],"NVIDIA の創業者/CEO であるジェンスン フアン とソフトバンクグループ株式会社 代表取締役 会長兼社長執行役員である孫正義氏との対談を視聴し、AIとアクセラレーテッドコンピューティングで何が可能になるのかをお聴きください。

Conversation with NVIDIA founder and CEO Jensen Huang and Softbank Group Corp. CEO Masayoshi Son to hear what's possible with AI and accelerated computing."
"GMO が支える AI・ロボティクス社会の計算基盤とセキュリティ, presented by GMO インターネット株式会社 [SJP1087]","Windows95登場を皮切りに始まったインターネット革命。GMOはインターネットインフラに注力し続けてきました。これまでの産業革命が55年周期であることを踏まえて丁度半分の27.5年が経った2022年にChatGPTが登場、インターネット革命の後半戦はAI・ロボティクス革命に突入しました。
今後AI・ロボティクスが社会に普及していく中で、GMOはAI・ロボティクスのためのインフラに注力して提供していくことが重要であると考えています。本講演ではAI・ロボティクス社会における重要領域であるGPU計算資源と秘密計算などAI・ロボティクス時代のセキュリティについて、なぜ重要であるかといった解説やGMOの取り組みの紹介を通して理解を深めていただきます。"
"[昼食付] HPE と NVIDIA が切り拓くオンプレミス LLM の新時代, presented by 日本ヒューレット・パッカード合同会社 [SJP1090]","HPEとNVIDIAの協力によって実現した「HPE Private Cloud AI」を中心に、オンプレミスLLMの新しい可能性について探ります。生成AI ISVベンダーとの協業も含めたオンプレミスLLMの導入を加速するための戦略とベストプラクティスをご紹介します。
本セッションは昼食付です。"
未来を共に歩む  ～ 生成AIがもたらす社会的変革とマイクロソフトのビジョン ～  presented by 日本マイクロソフト株式会社　 [SJP1108],人類史における様々な産業革命や技術革新を経て今日に至る私たちは今、生成AIという大きな技術革新のうねりの中で新しい世界に向けて共に歩みを進めようとしています。技術とは人類の英知の結晶でもありますが、同時にそれが様々な人の手に届かなければ世の中が変わっていくことは難しいと言えます。当講演では、エヌビディアとのパートナーシップによって成し遂げられることをご理解頂き、ビジネスの世界で起きている生成AI活用の”リアル”を踏まえた上で、マイクロソフトがどのようにその先の未来を思い描き変革しようとしているのか、ビジョンをご説明いたします。
"革新的 AI 創薬コミュニティ「Tokyo-1」、ダイナミックプライシング： 三井物産が挑む社会課題と革新的ソリューション紹介, presented by 三井物産株式会社 [SJP1073]","三井物産は、AI技術を活用しあらゆる産業での変革と社会課題の解決に挑んでいます。
このセッションでは、具体的な取組事例として、革新的AI創薬コミュニティ「Tokyo-1」とダイナミックプライシングサービスをご紹介します。
先ず、2024年2月よりサービスを開始した「Tokyo-1」は、創薬をはじめとするヘルスケア産業をデジタルで変革する「イノベーションハブ」として、NVIDIAとのパートナーシップの下立ち上げたプロジェクトです。最新のスーパーコンピュータ、最先端のAIソリューション、連携コミュニティの3つを包括的に提供することで、欧米と比較しAI活用が後れる国内ヘルスケア産業でのAI活用促進に貢献しています。
また、ダイナミックプラス社は、価値と価格が最適化された世界を目指し、AIを駆使したダイナミックプライシングとレベニューマネジメントサービスを提供しています。このサービスを通じ、需要と供給の変動に応じて価格を最適化することで、企業が収益を最大化し、顧客にとっても最適な価格を実現します。
2つの具体的な事例を通じ、AI技術を活用した革新的なビジネスの形成とイノベーションの実現についてご説明します。"
EthernetベースのGPUクラスタ導入による学びと展望 [SJP1061],"このセッションでは、LINEヤフーがEthernetベースのGPUクラスタを導入する中で直面した課題とその解決策について紹介します。
今回LINEヤフーでは機械学習基盤として、新たにH100 GPUのためのEthernetベースのネットワークをNVIDIA ConnectX-7、およびNVIDIA Spectrum-3スイッチで構築しました。
AIの分散学習においては特にネットワークのパフォーマンスが重要になるため、Lossless Ethernetの技術としてRoCEv2を採用しました。
このセッションを通して、私たちがなぜEthernetを選択したのか、実際にEthernetで構築する中で直面した特有の課題、それらの各レイヤごとの技術的解決策や勘所について知ることができます。
最後に、今後のAI時代のネットワークに必要となる技術への期待と展望についてお話しします。"
Megatron-LM と GKE で作る Mixtral 8x7B の語彙拡張継続事前学習  [SJP1055],"ABEJAは国立研究開発法人新エネルギー・産業技術総合開発機構（NEDO）が公募した「ポスト5G情報通信システム基盤強化研究開発事業／ポスト5G情報通信システムの開発」に当社提案の「LLMの社会実装に向けた特化型モデルの元となる汎化的LLM」が採択されたことを受け、LLMの事前学習を実施しました。本プロジェクトは、日本の経済産業省（METI）の支援のもと立ち上がったGenerative AI Accelerator Challenge(GENIAC)の活動の一環になります。
本プロジェクトで、ABEJAは日本語に特化したMoEベースの大規模言語モデル（LLM）「Mixtral 8x7B」の日本語語彙拡張継続事前学習に挑戦しました。当時、Megatron-LMを使用したMixtral 8x7Bの継続事前学習を行うためのオープンソースコードは存在せず、このプロジェクトには数々の課題が伴いました。課題の中には、大規模な日本語コーパスの作成、Google Cloudでの大規模クラスター（k8s）の構築、MixtralモデルのMegatron-LMへの適用、そして分散トレーニング技術の導入が含まれます。これらの挑戦から得られたモデル[abeja/Mixtral-8x7B-Instruct-v0.1-japanese](https://huggingface.co/abeja/Mixtral-8x7B-Instruct-v0.1-japanese)はオープンソースとして公開しています。本セッションでは、この開発の経緯、得られたノウハウや成果について詳しくご紹介いたします。"
"NEC の生成 AI 活用について, presented by 日本電気株式会社 [SJP1074]",NECは、生成AIをビジネスに活用し、業務の効率化と新しいサービスの提供を実現しています。生成AIの活用は、多くの期待が寄せられる一方で、実際のユーザ価値の実現には、いくつかのステップを経る必要があります。NECは、このステップを乗り越えるための技術力と体制を持っています。本講演では、NECにおける生成AI活用事例と、それを実現するプロセスについてお話しします。生成AIの可能性と未来について、皆様と一緒に考えていきたいと思います。
イメージセンサ検査の技術革新：AIとGPUが実現するリアルタイム半導体データ分析 [SJP1079],"本講演では、イメージセンサの評価・検査システム向けに開発したGPU画像信号処理とデータ転送ネットワーキング技術について掘り下げ、そこで得られる画像データを分析するAIファクトリーの未来像についてお話します。
イメージセンサの高性能化に伴い、処理すべきデータ量は爆発的な増大を続けています。このデータに対する処理能力を数倍に向上させるためにGPU画像信号処理と、 100GbイーサネットによるセンサとGPUノード間の低遅延データ転送の開発を行いました。
さらに、NVIDIA 社が提供する DOCA、Holoscan、GPUDirect RDMA といった技術を活用することで、複数の装置から1Tbps超の帯域で画像データを収集した上でAIによる学習・推論環境を実現する、GPUクラスタで構成された未来のインフラストラクチャについて考えます。"
デジタルツインと産業用メタバースの未来： Omniverse と OpenUSD の実践的活用法  [SJP1032],デジタルツインと産業用メタバースの最新技術動向を Omniverse と OpenUSD を用いた実際のプロジェクト事例を通じて学びます。リアルタイムコラボレーションや高品質なレンダリング、データ互換性の重要性についても事例を通して理解を深めることが可能です。デモンストレーションでは Kit-app-template を利用した Extension 開発などの基本的な Omniverse での開発からアプリ開発例まで具体的なプロセスを体験します。
（同時通訳付）AI ネットワーク イノベーションの新境地へ  Entering a New Frontier of AI Networking Innovation [SJP1045],"NVIDIA Quantum InfiniBandとSpectrum-X Ethernetは、AIの学習と大規模展開において、事実上のネットワーク標準として登場しました。InfiniBandのIn-Network Computing機能、超低レイテンシ、および高帯域幅により、より大規模で複雑な基盤モデルの構築が容易になりました。Spectrum-Xは、AIインフラをサポートできる初のイーサネットプラットフォームであり、ハイパースケールAIクラウドや企業向けに、生成AIに最適化されたネットワークを提供します。新しいNVIDIA Quantum-X800 InfiniBandおよびSpectrum-X800イーサネットプラットフォーム、そして次世代AIデータセンター設計における両プラットフォームの重要な役割について詳しく見ていきましょう。



NVIDIA Quantum InfiniBand and Spectrum-X Ethernet have emerged as the de facto network standards for training and deploying AI at scale. InfiniBand's in-network computing, ultra-low latency, and high bandwidth capabilities have facilitated creating larger and more complex foundational models. And Spectrum-X is the first Ethernet platform capable of supporting AI infrastructure, delivering networking optimized for generative AI to hyperscale AI clouds and enterprises. We'll dive deep into both platforms, including new NVIDIA Quantum-X800 InfiniBand and Spectrum-X800 Ethernet platforms and their essential roles in next-generation AI data center designs."
実例から学ぶ量子古典ハイブリッドシステムのコンセプトとデザイン [SJP1044],"このセッションでは、産業技術総合研究所および理化学研究所がそれぞれ開発している量子-古典ハイブリッドプラットフォームのコンセプトとデザインについて紹介します。
様々な方式の量子コンピュータとスーパーコンピュータをどのように連携させるのか、また研究者がどのように利用していくのか、さらにどのように応用に繋げていくのか、CUDA-Qプラットフォームを利用しどのようにこれらを実現していくかを議論します。"
